c,c#,d,d#,e,f,f#,g,g#,a,a#,b,chord
0.025711385476636678,0.7328796249448951,0.14835403552745974,0.029901751161399356,0.9443145572849121,0.0835668724032612,0.07288282902868923,0.07974057986865982,0.15808465838587,1,0.05944076535834378,0.1503550284519771,0
0.1490195466780707,0.7537326689274979,0.18534401044960702,0.22332594031131897,0.9931978887090025,0.19949279997646238,0.20527690744635313,0.2974226587414099,0.32002264926049795,0.855147138253362,0.11429411171189752,0.33597821849736337,0
0.05670688334071056,0.7067679394303132,0.13360244473595162,0.12262747287713024,1,0.17233553244151467,0.1120478334780452,0.10474458948444212,0.368103794826068,0.4762254261212673,0.05134314212448456,0.3560922992924067,0
0.061681089268009935,0.9274433344533453,0.07954861884209885,0.15649013085732125,0.7877292261021256,0.21685872632388994,0.1501615430109759,0.08910044553595546,0.4580602105979168,0.41746882581876965,0.05270612194337449,0.2907406648244639,0
0.0832667861844939,1,0.12370276374923564,0.10843445564849136,0.7257383794116127,0.18997613609450997,0.12316032154925216,0.15647500090299213,0.342093211086293,0.6505470615201483,0.07064762888634372,0.28381455218440915,0
0.1212052252735115,0.9491645348647948,0.13011457274922017,0.14951860210930296,0.8825843441071721,0.30674523164705864,0.12412563903895552,0.15786026090026545,0.4295262462813352,0.7458875928006045,0.09210043642180417,0.348801734525083,0
0.048249895356036444,0.8516012611998185,0.2564666442353577,0.17843162946807298,0.711053453869896,0.17210458518921487,0.10589382223589838,0.2539345437899631,0.15285760149024066,0.7656362335589211,0.08023615567387969,0.12635778100377149,0
0.07464855701786516,0.598243728221689,0.24842320922260924,0.1328464774642936,1,0.10271805598613536,0.11758301004744665,0.08004399744102907,0.14383710847919412,0.46118097602900476,0.05532048683585828,0.35840825145756416,0
0.08141595582688549,0.32445778783127044,0.8072817407659791,0.02349614866528038,0.08806278189607838,0.026911247646421114,0.881782381597243,0.02536944741482558,0.031988330289591846,0.2574553432625484,0.06328449768353163,0.03319659610746625,4
0.26709839313440337,0.16973441846078272,0.8693151588748742,0.08851653281204991,0.17938869583096034,0.7550240926123892,0.3335262890992561,0.08513931345272734,0.044815631540654106,0.912764997075958,0.03443455355587298,0.10010408137041871,5
0.29259903215219596,0.21196877979143225,0.8215926015309455,0.09468760652079848,0.2700954202034935,0.5414201615273864,0.19901075953630543,0.09267425125682807,0.13545456942470777,0.8871479859825567,0.04309958610552387,0.25999055641398716,5
0.1836074297620506,0.20666011447399946,0.809764045020205,0.09511703668014504,0.28102829991692724,0.35808214453050646,0.26193554399825164,0.08467853808803724,0.11281699823705663,0.9555706604983859,0.06052380378500605,0.18678752731205,5
0.10121927559163274,0.21008252511927994,0.5200710615885885,0.08682931820869812,0.10144863315370399,0.3737430792929333,0.14559626587097527,0.06951831941650871,0.08041527597672153,1,0.06590389727374014,0.06984564183176961,5
